Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
157,Chase d'Arnaud\darnach01,29,ATL,84,262,233,24,57,14,2,1,21,9,3,23,50,.245,.317,.335,.652,76,78,5,3,0,3,1,654/789
158,Travis d'Arnaud\darnatr01,27,NYM,75,276,251,27,62,7,0,4,15,0,0,19,50,.247,.307,.323,.629,70,81,7,3,2,1,1,2
159,David Dahl*\dahlda01,22,COL,63,237,222,42,70,12,4,7,24,5,0,15,59,.315,.359,.500,.859,113,111,3,0,0,0,0,7/89
160,Zach Davies\davieza02,23,MIL,28,61,53,2,5,0,0,0,1,0,0,1,22,.094,.111,.094,.205,-44,5,0,0,7,0,0,1
161,Grant Dayton*\daytogr01,28,LAD,25,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
162,Alejandro De Aza*\deazaal01,32,NYM,130,267,234,31,48,9,0,6,25,4,3,26,67,.205,.297,.321,.618,67,75,5,5,1,1,1,879
163,Ivan De Jesus\dejesiv02,29,CIN,104,243,221,21,56,10,0,1,20,3,1,17,51,.253,.311,.312,.623,67,69,6,2,2,1,1,6453/7
164,Joel De La Cruz\delacjo01,27,ATL,22,18,16,0,3,0,0,0,1,0,0,0,8,.188,.188,.188,.375,2,3,1,0,2,0,0,1
165,Jorge De La Rosa*\rosajo01,35,COL,27,42,38,4,7,0,0,0,6,0,0,2,14,.184,.244,.184,.428,10,7,0,1,1,0,0,1
166,Rubby De La Rosa\delarru01,27,ARI,13,17,14,0,1,0,0,0,1,0,0,0,3,.071,.071,.071,.143,-63,1,1,0,3,0,0,1
167,Jose De Leon\deleojo03,23,LAD,4,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
168,Abel De Los Santos\delosab01,23,CIN,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
169,Jacob deGrom*\degroja01,28,NYM,27,50,42,6,6,1,0,0,2,0,0,3,12,.143,.200,.167,.367,1,7,1,0,5,0,0,1
170,Steve Delabar\delabst01,32,CIN,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
171,Randall Delgado\delgara01,26,ARI,79,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
172,Matt den Dekker*\dendema01,28,WSN,19,39,34,3,6,1,0,1,4,1,0,4,10,.176,.282,.294,.576,54,10,0,1,0,0,0,/897
173,Daniel Descalso*\descada01,29,COL,99,289,250,38,66,12,2,8,38,3,0,34,56,.264,.349,.424,.773,93,106,2,1,0,4,3,634/75D
174,Anthony DeSclafani\desclan01,26,CIN,20,43,41,0,5,1,0,0,1,0,0,1,22,.122,.143,.146,.289,-23,6,1,0,1,0,0,1
175,Odrisamer Despaigne\despaod01,29,MIA,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
176,Aledmys Diaz\diazal02,25,STL,111,460,404,71,121,28,3,17,65,4,4,41,60,.300,.369,.510,.879,134,206,10,7,2,6,6,6/4
177,Dayan Diaz\diazda01,27,CIN,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
178,Elias Diaz\diazel01,25,PIT,1,4,4,0,0,0,0,0,1,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2
179,Jumbo Diaz\diazju03,32,CIN,45,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
180,Alex Dickerson*\dickeal01,26,SDP,84,285,253,39,65,16,2,10,37,5,1,26,44,.257,.333,.455,.788,110,115,5,4,0,2,2,7/D
181,Derek Dietrich*\dietrde01,26,MIA,128,412,351,39,98,20,5,7,42,1,0,32,84,.279,.374,.425,.798,119,149,6,24,0,5,2,435/7
182,Wilmer Difo#\difowi01,24,WSN,31,66,58,14,16,3,0,1,7,3,0,8,12,.276,.364,.379,.743,98,22,0,0,0,0,1,/465
183,Jose Dominguez\dominjo01,25,SDP,34,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
184,Kyle Drabek\drabeky01,28,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
185,Stephen Drew*\drewst01,33,WSN,70,165,143,24,38,11,1,8,21,0,1,16,31,.266,.339,.524,.864,125,75,3,2,0,4,0,456/D
186,Brandon Drury\drurybr01,23,ARI,134,499,461,59,130,31,1,16,53,1,1,31,100,.282,.329,.458,.786,101,211,14,3,0,4,2,7954/3
187,Lucas Duda*\dudalu01,30,NYM,47,172,153,20,35,7,0,7,23,0,0,15,36,.229,.302,.412,.714,90,63,1,2,0,2,2,3
188,Matt Duffy\duffyma01,25,SFG,70,286,257,32,65,11,2,4,21,8,4,20,40,.253,.313,.358,.671,81,92,9,4,2,3,0,5
189,Zach Duke*\dukeza01,33,STL,28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
190,Mike Dunn*\dunnmi01,31,MIA,51,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
191,Adam Duvall\duvalad01,27,CIN,150,608,552,85,133,31,6,33,103,6,5,41,164,.241,.297,.498,.795,106,275,7,6,0,8,1,*7/935
192,Josh Edgin\edginjo01,29,NYM,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
193,Carl Edwards\edwarca01,24,CHC,37,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
194,Zach Eflin\eflinza01,22,PHI,11,23,23,2,6,2,0,0,0,0,0,0,8,.261,.261,.348,.609,62,8,2,0,0,0,0,1
195,Cody Ege*\egeco01,25,MIA,5,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,452,1,0,0,0,0,0,/1
196,Jerad Eickhoff\eickhje01,25,PHI,33,62,61,4,8,3,0,0,5,0,0,1,12,.131,.145,.180,.325,-13,11,3,0,0,0,0,1
197,Brian Ellington\ellinbr02,25,MIA,32,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
198,A.J. Ellis\ellisaj01,35,TOT,64,196,171,11,37,8,0,2,22,2,1,19,31,.216,.301,.298,.599,65,51,5,2,3,1,2,2
199,A.J. Ellis\ellisaj01,35,LAD,53,161,139,8,27,5,0,1,13,1,1,16,24,.194,.285,.252,.537,49,35,5,2,3,1,2,2
200,A.J. Ellis\ellisaj01,35,PHI,11,35,32,3,10,3,0,1,9,1,0,3,7,.313,.371,.500,.871,132,16,0,0,0,0,0,2
201,Jake Elmore\elmorja01,29,MIL,59,99,78,7,17,2,0,0,4,2,3,17,17,.218,.371,.244,.615,70,19,1,2,2,0,1,7/5948
202,Robbie Erlin\erlinro01,25,SDP,3,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
203,Jake Esch\eschja01,26,MIA,3,5,5,1,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,10,1,0,0,0,0,0,/1
204,Edwin Escobar*\escobed02,24,ARI,25,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
205,Danny Espinosa#\espinda01,29,WSN,157,601,516,66,108,15,0,24,72,9,2,54,174,.209,.306,.378,.684,81,195,4,20,7,4,12,*6
206,Carlos Estevez\estevca01,23,COL,63,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
207,Andre Ethier*\ethiean01,34,LAD,16,26,24,2,5,1,0,1,2,0,0,2,6,.208,.269,.375,.644,74,9,1,0,0,0,1,/7D
208,Jeurys Familia\familje01,26,NYM,78,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
209,Taylor Featherston\feathta01,26,PHI,19,28,26,2,3,1,0,0,1,2,0,2,11,.115,.179,.154,.332,-9,4,0,0,0,0,0,/4
210,Tim Federowicz\federti01,28,CHC,17,33,31,3,6,2,0,0,3,0,0,1,12,.194,.212,.258,.470,27,8,1,0,0,1,0,2
211,Neftali Feliz\felizne01,28,PIT,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
212,Jose Fernandez\fernajo02,23,MIA,30,61,52,3,13,2,0,0,6,0,0,1,13,.250,.264,.288,.553,52,15,1,0,8,0,0,1
213,Josh Fields\fieldjo03,30,LAD,22,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
214,Casey Fien\fienca01,32,LAD,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
215,Cole Figueroa*\figueco01,29,PIT,23,27,26,0,4,0,0,0,3,1,0,1,2,.154,.185,.154,.339,-8,4,0,0,0,0,0,/456
216,Brandon Finnegan*\finnebr01,23,CIN,33,61,53,4,6,2,0,0,2,0,0,3,18,.113,.161,.151,.312,-16,8,2,0,5,0,0,1
217,Yohan Flande*\flandyo01,30,COL,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,/1
218,Kendry Flores\floreke01,24,MIA,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
219,Ramon Flores*\florera02,24,MIL,104,289,249,18,51,8,0,2,19,3,0,31,58,.205,.294,.261,.555,50,65,11,2,3,4,3,987/3
220,Wilmer Flores\florewi01,24,NYM,103,335,307,38,82,14,0,16,49,1,1,23,48,.267,.319,.469,.788,109,144,9,2,0,3,0,534/6
221,Pedro Florimon#\floripe01,29,PIT,18,25,24,4,5,1,1,0,4,0,1,1,12,.208,.240,.333,.573,50,8,0,0,0,0,0,/46
222,Tyler Flowers\flowety01,30,ATL,83,325,281,27,76,18,0,8,41,0,0,29,91,.270,.357,.420,.777,109,118,3,11,0,4,1,2
223,Mike Foltynewicz\foltymi01,24,ATL,22,42,36,3,5,1,0,0,1,0,0,1,19,.139,.162,.167,.329,-11,6,0,0,5,0,0,1
224,Dexter Fowler#\fowlede01,30,CHC,125,551,456,84,126,25,7,13,48,13,4,79,124,.276,.393,.447,.840,127,204,3,11,1,4,0,*8/D
225,Maikel Franco\francma02,23,PHI,152,630,581,67,148,23,1,25,88,1,1,40,106,.255,.306,.427,.733,95,248,13,5,0,4,7,*5
226,Jeff Francoeur\francje02,32,TOT,125,331,307,33,78,15,1,7,34,2,2,20,90,.254,.297,.378,.675,81,116,5,0,1,3,2,79/D5
227,Jeff Francoeur\francje02,32,ATL,99,276,257,29,64,13,0,7,33,2,0,16,75,.249,.290,.381,.671,79,98,4,0,0,3,2,79/D
228,Jeff Francoeur\francje02,32,MIA,26,55,50,4,14,2,1,0,1,0,2,4,15,.280,.333,.360,.693,90,18,1,0,1,0,0,7/95
229,Adam Frazier*\fraziad01,24,PIT,66,160,146,21,44,8,1,2,11,4,1,12,26,.301,.356,.411,.767,104,60,0,1,0,1,0,749/58
230,Freddie Freeman*\freemfr01,26,ATL,158,693,589,102,178,43,6,34,91,6,1,89,171,.302,.400,.569,.968,157,335,12,10,0,5,18,*3
231,Mike Freeman*\freemmi01,28,ARI,8,11,9,0,0,0,0,0,0,0,0,2,5,.000,.182,.000,.182,-46,0,1,0,0,0,0,/79
232,Sam Freeman\freemsa01,29,MIL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
233,David Freese\freesda01,33,PIT,141,492,437,63,118,23,0,13,55,0,0,45,142,.270,.352,.412,.764,102,180,15,10,0,0,2,53/4
234,Carlos Frias\friasca01,26,LAD,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
235,Christian Friedrich\friedch01,28,SDP,24,43,37,2,2,0,0,0,2,0,0,3,23,.054,.125,.054,.179,-49,2,1,0,3,0,0,1
236,Eric Fryer\fryerer01,30,TOT,60,133,116,19,31,4,1,0,13,0,3,13,25,.267,.336,.319,.655,77,37,1,0,2,2,0,2
237,Eric Fryer\fryerer01,30,STL,24,41,38,7,14,2,0,0,5,0,1,3,7,.368,.415,.421,.836,126,16,0,0,0,0,0,2
238,Eric Fryer\fryerer01,30,PIT,36,92,78,12,17,2,1,0,8,0,2,10,18,.218,.300,.269,.569,54,21,1,0,2,2,0,2
239,Freddy Galvis#\galvifr01,26,PHI,158,624,584,61,141,26,3,20,67,17,6,25,136,.241,.274,.399,.673,78,233,16,3,8,4,6,*6
240,John Gant\gantjo01,23,ATL,20,10,7,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,3,0,0,1
241,Adonis Garcia\garciad01,31,ATL,134,563,532,65,145,29,0,14,65,3,2,24,93,.273,.311,.406,.717,91,216,18,6,0,0,4,*5/7D
242,Greg Garcia*\garcigr01,26,STL,99,257,214,33,59,11,0,3,17,1,1,38,50,.276,.393,.369,.762,108,79,3,4,0,1,4,564
243,Jaime Garcia*\garcija02,29,STL,32,51,41,3,7,0,0,0,4,0,0,2,17,.171,.205,.171,.375,3,7,0,0,7,1,0,1
244,Luis Garcia\garcilu03,29,PHI,17,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,1
245,Yimi Garcia\garciyi01,25,LAD,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
246,Dustin Garneau\garnedu01,28,COL,24,75,68,7,16,6,0,1,6,0,0,6,22,.235,.293,.368,.661,65,25,1,0,0,1,0,2
247,Matt Garza\garzama01,32,MIL,19,33,28,1,1,0,0,0,0,0,0,2,17,.036,.100,.036,.136,-61,1,1,0,3,0,0,1
248,Cory Gearrin\gearrco01,30,SFG,56,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,445,1,0,0,0,0,0,1/7
249,Scooter Gennett*\gennesc01,26,MIL,136,542,498,58,131,30,1,14,56,8,1,38,114,.263,.317,.412,.728,93,205,11,2,1,2,1,*4/D
250,Gonzalez Germen\germego01,28,COL,40,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
251,Conor Gillaspie*\gillaco01,28,SFG,101,205,191,24,50,8,4,6,25,1,2,12,28,.262,.307,.440,.747,99,84,3,1,0,1,3,5/3
252,Cole Gillespie\gilleco01,32,MIA,41,55,51,7,12,3,2,0,5,0,0,3,14,.235,.273,.373,.645,75,19,1,0,0,1,0,/7938
253,Sean Gilmartin*\gilmase01,26,NYM,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
254,Lucas Giolito\giolilu01,21,WSN,6,6,4,1,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,34,1,0,0,2,0,0,/1
255,Tyler Glasnow*\glasnty01,22,PIT,7,7,7,0,1,0,0,0,0,0,0,0,4,.143,.143,.143,.286,-23,1,0,0,0,0,0,/1
256,Koda Glover\gloveko01,23,WSN,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
257,Zack Godley\godleza01,26,ARI,27,19,18,1,2,0,0,0,0,0,0,0,9,.111,.111,.111,.222,-42,2,0,0,1,0,0,1
258,Erik Goeddel\goedder01,27,NYM,36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
259,Tyler Goeddel\goeddty01,23,PHI,92,234,213,17,41,3,3,4,16,3,0,17,52,.192,.258,.291,.549,48,62,4,2,1,1,0,79
260,David Goforth\goforda01,27,MIL,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
261,Paul Goldschmidt\goldspa01,28,ARI,158,705,579,106,172,33,3,24,95,32,5,110,150,.297,.411,.489,.899,133,283,14,7,0,8,15,*3/D
262,Jeanmar Gomez\gomezje01,28,PHI,70,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
263,Adrian Gonzalez*\gonzaad01,34,LAD,156,633,568,69,162,31,0,18,90,0,2,55,117,.285,.349,.435,.784,113,247,16,4,0,6,9,*3/D
264,Carlos Gonzalez*\gonzaca01,30,COL,150,632,584,87,174,42,2,25,100,2,2,46,129,.298,.350,.505,.855,111,295,10,1,0,1,6,*9
265,Gio Gonzalez\gonzagi01,30,WSN,32,59,52,1,7,2,0,0,2,0,0,0,24,.135,.148,.173,.321,-15,9,0,1,5,1,0,1
266,Severino Gonzalez\gonzase01,23,PHI,27,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
267,Brian Goodwin*\goodwbr01,25,WSN,22,44,42,1,12,4,1,0,5,0,0,2,14,.286,.318,.429,.747,96,18,1,0,0,0,0,/978
268,Dee Gordon*\gordode01,28,MIA,79,346,326,47,87,7,6,1,14,30,7,18,55,.267,.304,.334,.639,75,109,4,0,1,1,1,4
269,Tuffy Gosewisch\gosewtu01,32,ARI,33,99,90,8,14,1,1,3,7,0,0,7,22,.156,.224,.289,.513,32,26,1,1,1,0,0,2
270,Philip Gosselin\gosseph01,27,ARI,122,240,220,26,61,12,1,2,13,3,0,15,46,.277,.324,.368,.692,79,81,0,1,2,2,0,45/37D9
271,Trevor Gott\gotttr01,23,WSN,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
272,Matt Grace*\gracema02,27,WSN,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
273,Yasmani Grandal#\grandya01,27,LAD,126,457,390,49,89,14,1,27,72,1,3,64,116,.228,.339,.477,.816,121,186,11,2,0,1,1,*2/3
274,Curtis Granderson*\grandcu01,35,NYM,150,633,545,88,129,24,5,30,59,4,2,74,130,.237,.335,.464,.799,112,253,10,9,0,5,7,*98/7D
275,Jon Gray\grayjo02,24,COL,29,55,47,2,7,2,0,0,4,0,0,2,30,.149,.184,.191,.375,-5,9,0,0,6,0,0,1
276,Grant Green\greengr01,28,SFG,18,50,46,7,12,2,0,1,7,0,0,3,8,.261,.300,.370,.670,80,17,3,0,0,1,0,4
277,Zack Greinke\greinza01,32,ARI,27,60,52,4,11,1,0,0,3,1,0,3,9,.212,.246,.231,.476,25,12,0,0,3,2,0,1
278,Randal Grichuk\grichra01,24,STL,132,478,446,66,107,29,3,24,68,5,4,28,141,.240,.289,.480,.769,102,214,9,3,0,1,0,*8/79
279,Jason Grilli\grillja01,39,ATL,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
280,Justin Grimm\grimmju01,27,CHC,68,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
281,Robert Gsellman\gsellro01,22,NYM,9,17,15,0,1,0,0,0,0,0,0,0,9,.067,.067,.067,.133,-64,1,0,0,2,0,0,/1
282,Junior Guerra\guerrju02,31,MIL,20,43,35,2,8,2,0,0,0,0,0,0,13,.229,.229,.286,.514,36,10,0,0,8,0,0,1
283,Tayron Guerrero\guerrta01,25,SDP,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
284,Jason Gurka*\gurkaja01,28,COL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
285,Jedd Gyorko\gyorkje01,27,STL,128,438,400,58,97,9,1,30,59,0,0,37,96,.243,.306,.495,.801,111,198,11,0,0,1,1,4563
286,David Hale\haleda02,28,COL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
287,Cody Hall\hallco01,28,MIA,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
288,Billy Hamilton#\hamilbi02,25,CIN,119,460,411,69,107,19,3,3,17,58,8,36,93,.260,.321,.343,.664,77,141,5,1,11,1,0,*8
289,Jason Hammel\hammeja01,33,CHC,35,69,65,6,16,3,0,0,7,0,0,1,24,.246,.258,.292,.550,49,19,0,0,3,0,0,1
290,Brad Hand*\handbr01,26,SDP,82,5,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
291,Mitch Haniger\hanigmi01,25,ARI,34,123,109,9,25,2,1,5,17,0,0,12,27,.229,.309,.404,.713,83,44,3,1,0,1,2,8/79
292,Alen Hanson#\hansoal01,23,PIT,27,33,31,5,7,1,0,0,1,2,1,2,5,.226,.273,.258,.531,43,8,0,0,0,0,1,/4
293,Bryce Harper*\harpebr03,23,WSN,147,627,506,84,123,24,2,24,86,21,10,108,117,.243,.373,.441,.814,116,223,11,3,0,10,20,*9
294,Lucas Harrell#\harrelu01,31,ATL,5,8,8,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
295,Josh Harrison\harrijo05,28,PIT,131,522,487,57,138,25,7,4,59,19,4,18,76,.283,.311,.388,.699,85,189,10,5,4,8,0,*4/9
296,Matt Harvey\harvema01,27,NYM,17,25,22,2,3,1,0,0,0,0,0,0,8,.136,.136,.182,.318,-15,4,1,0,3,0,0,1
297,Chris Hatcher#\hatchch02,31,LAD,37,3,3,0,1,0,0,0,1,0,0,0,0,.333,.333,.333,.667,84,1,0,0,0,0,0,1
298,Steve Hathaway*\hathast01,25,ARI,24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
299,Drew Hayes\hayesdr01,28,CIN,6,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,/1
300,Jeremy Hazelbaker*\hazelje01,28,STL,114,224,200,35,47,7,3,12,28,5,2,18,64,.235,.295,.480,.775,104,96,1,0,4,2,2,78/9
301,Adeiny Hechavarria\hechaad01,27,MIA,155,547,508,52,120,17,6,3,38,1,0,33,73,.236,.283,.311,.594,63,158,10,1,2,3,7,*6
302,Austin Hedges\hedgeau01,23,SDP,8,26,24,2,3,1,0,0,1,0,1,0,7,.125,.154,.167,.321,-13,4,0,1,0,1,0,/2
303,Chris Heisey\heisech01,31,WSN,83,155,139,18,30,3,1,9,17,0,1,13,44,.216,.290,.446,.736,92,62,0,2,0,1,0,79/8D
304,Jeremy Hellickson\hellije01,29,PHI,32,66,54,3,9,1,0,0,4,0,0,4,24,.167,.224,.185,.409,12,10,1,0,8,0,0,1
305,Jim Henderson*\hendeji01,33,NYM,44,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
306,Kyle Hendricks\hendrky01,26,CHC,32,68,58,1,8,0,0,0,2,0,0,1,29,.138,.167,.138,.305,-16,8,0,1,8,0,0,1
307,Cesar Hernandez#\hernace02,26,PHI,155,622,547,67,161,14,11,6,39,17,13,66,116,.294,.371,.393,.764,107,215,6,2,5,2,4,*4/6
308,David Hernandez\hernada01,31,PHI,70,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
309,Enrique Hernandez\hernaen02,24,LAD,109,244,216,25,41,8,0,7,18,2,0,28,64,.190,.283,.324,.607,66,70,3,0,0,0,1,784/956D
310,Gorkys Hernandez\hernago01,28,SFG,26,57,54,7,14,5,0,2,4,0,1,3,11,.259,.298,.463,.761,102,25,0,0,0,0,0,8/97
